screen_name,fav,rt,tweet,tweet_url
JasonKander,4271,394,"This is Blue. She’s chill. Unlike most transitional housing, we welcome dogs. Veterans won’t come off the street if… https://t.co/w9pZ7NWi39",https://twitter.com/JasonKander/status/1155173469790834690
MLB,1450,522,"Mets reportedly acquire RHP Marcus Stroman from Blue Jays, source tells @jonmorosi. https://t.co/KrEGOUogbn https://t.co/4sZn8imK1d",https://twitter.com/MLB/status/1155604551187271680
GeorgeTakei,1679,292,"In 2020, America needs to institute a separation policy in response to this border crisis: We need to separate ours… https://t.co/LoNx9oixF6",https://twitter.com/GeorgeTakei/status/1155505229007380481
JeffPassan,754,267,"Pitching prospects Anthony Kay and Simeon Woods-Richardson are going to the Toronto Blue Jays in the Marcus Stroman deal, sources tell ESPN.",https://twitter.com/JeffPassan/status/1155608724834324480
Starting9,1753,361,BREAKING: Mets and Blue Jays are in agreement on a trade to send Marcus Stroman to the Mets (per @jonmorosi) https://t.co/WLTFVPP0Pv,https://twitter.com/Starting9/status/1155597810156355584
realDonaldTrump,118547,22791,"NO COLLUSION, NO OBSTRUCTION, TOTAL EXONERATION. DEMOCRAT WITCH HUNT!",https://twitter.com/realDonaldTrump/status/1155240345585750016
realDonaldTrump,101874,23816,"We gave Nadler and his Trump hating Dems the complete Mueller Report (we didn’t have to), and even Mueller himself,… https://t.co/pVuESK5W26",https://twitter.com/realDonaldTrump/status/1155235323938508800
FabrizioRomano,16188,4760,"#Arsenal more about Pépé: no problem for the total agreement between clubs (€80M + add ons), talks ongoing with the… https://t.co/HS6QSv3wvf",https://twitter.com/FabrizioRomano/status/1155060564269391872
peterbakernyt,14155,3432,"Trump: ""TOTAL EXONERATION.""

Nadler: ""And what about total exoneration? Did you actually totally exonerate the president?”

Mueller: ""No.""",https://twitter.com/peterbakernyt/status/1155243942092431360
ChuckCallesto,13588,4190,"De Blasio Says Trump Is Not Welcome Back In New York City...

RAISE YOUR HAND IF YOU THINK BILL DE BLASIO IS A TOTA… https://t.co/b9SwCVRzyx",https://twitter.com/ChuckCallesto/status/1155319466261016582
100Thieves,9642,784,"3RD PLACE: @Ceice + @ElevateFN
5TH PLACE: @Arkhram1x + @Falconerrr 

 $2,700,000 TOTAL PRIZE WINNINGS. 

Incredibly… https://t.co/01KouSQoSx",https://twitter.com/100Thieves/status/1155222456606568450
FabrizioRomano,9191,2269,Arsenal are working to complete Pépé deal with player agents about his contract. Total agreement with Lille as said… https://t.co/UtJEtCex5D,https://twitter.com/FabrizioRomano/status/1155469041244561409
DiamondandSilk,2539,1188,An all expense paid trip off the backs of Taxpayers. We pay their salaries while they advocates for Illegal Aliens.… https://t.co/b0NyIjrRBR,https://twitter.com/DiamondandSilk/status/1155611764798570497
RobGMacfarlane,675,661,"One hundred “Arctic wildfires” (a phrase that shouldn’t exist) have burned since June 1st, releasing smoke-plumes v… https://t.co/mjKFBikAJX",https://twitter.com/RobGMacfarlane/status/1155197359300718595
davidmcw,1491,410,Hey Lord Whatever! Please have a look at the facts. Irish exports to UK 12% of our total and falling continually fo… https://t.co/VOhpfmDzLs,https://twitter.com/davidmcw/status/1155494624825368576
Squawka,1329,313,"Nicolas Pépé’s 2018-19 Ligue 1 season by numbers:

38 games
118 total shots
108 fouls won
102 take-ons completed
70… https://t.co/zA8O99R5jw",https://twitter.com/Squawka/status/1155062775644925953
SonyMusicSouth,3742,734,This @Jharrisjayaraj listen is a total delight! Tell us your favourite number from @Suriya_offl's #Kaappaan ! 😍🎶… https://t.co/WoDmPOf9uU,https://twitter.com/SonyMusicSouth/status/1155084684692357120
RepAdamSchiff,39995,12252,"Thousands took to the streets today in Moscow to demand democracy.

Putin responded with arrests and violence.

It’… https://t.co/ZhS5eO9u6V",https://twitter.com/RepAdamSchiff/status/1155311222625120256
shekharkapur,16101,4148,Started life as refugee of Partition. Parents gave everything to make a life for kids. Was always in fear of ‘intel… https://t.co/2FWsrk6Ghl,https://twitter.com/shekharkapur/status/1155031590566805506
AnandWrites,3906,1071,There seems to be an important emotional truth in here. A political strategy of making Trump supporters fear for th… https://t.co/SoYkIERqdc,https://twitter.com/AnandWrites/status/1155463990748823554
Paula_White,3303,630,"Let every spirit of fear, intimidation and insecurity be broken off you now! Boldly go for your dreams &amp; promises in the name of Jesus",https://twitter.com/Paula_White/status/1155314444622188544
RealTalkKim,3634,822,"God is sending His angels ahead of you to destroy any plans of the enemy. God's got YOU covered. No fear, No worries. Just Trust in God.",https://twitter.com/RealTalkKim/status/1155449312199020546
KayaJones,3474,928,Evil people need to fear their crimes. I 100% support the death penalty. I do not support killing innocent babies.… https://t.co/WGfzfRVsOv,https://twitter.com/KayaJones/status/1155097549222682624
